WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9843135307819 40.7698492298928)","10213529",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,R7-1R,NO STOPPING ANYTIME <------> ,018 X 012,,,"433",parking,No Stopping,2012/09/24,
"POINT (-73.9843135307819 40.7698492298928)","10213519",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856C,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY <-> ,018 X 012,,,"36",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213520",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101B,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM <--> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM <--> ,018 X 042,,,"36",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213521",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856C,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY <-> ,018 X 012,,,"182",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213522",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101B,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM <--> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM <--> ,018 X 042,,,"182",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213523",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-856CA,NO PARKING (SANITATION BROOM SYMBOL) 7AM-7:30AM EXCEPT SUNDAY --> ,018 X 012,,North,"196",parking,Street Cleaning,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213524",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1101BA,3 HOUR METERED PARKING COMMERCIAL VEHICLES ONLY OTHERS NO STANDING MONDAY-FRIDAY 7:30AM-7PM --> 1 HOUR METERED PARKING SATURDAY 7:30AM-7PM --> ,018 X 042,,North,"196",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213525",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-854CA,NO PARKING ANYTIME --> ,018 X 012,,North,"243",parking,No Parking (Non-ASP),2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213526",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1096BA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-7PM EXCEPT SUNDAY --> 2 HMP 7PM-11PM EXCEPT SUNDAY --> ,018 X 042,,South,"284",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213527",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,SP-1096BA,3 HMP COMMERCIAL VEHICLES ONLY OTHERS NO STANDING 7AM-7PM EXCEPT SUNDAY --> 2 HMP 7PM-11PM EXCEPT SUNDAY --> ,018 X 042,,North,"320",parking,Metered Parking,2013/04/13,
"POINT (-73.9843135307819 40.7698492298928)","10213528",P-01258336,E,"[ ""E"", ""East side"" ]",COLUMBUS AVENUE,WEST   60 STREET,WEST   58 STREET,R7-1R,NO STOPPING ANYTIME <------> ,018 X 012,,,"365",parking,No Stopping,2012/09/24,
"POINT (-73.9828727419889 40.7769170304785)","12766085",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SP-477BA,BUS STOP SIGN(NO STANDING),"20"" DIA.",,South,"98",parking,Bus Stop,2021/06/30,"403555"
"POINT (-73.9828727419889 40.7769170304785)","12766086",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-1878G,ROUTE: M11,14.12 X 6,,,"98",parking,Bus Stop,2021/06/30,M11
"POINT (-73.9828727419889 40.7769170304785)","12766087",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-1879G,DESTINATION: RIVERBANK PARK,18.12 X 6,,,"98",parking,Bus Stop,2021/06/30,RIVERBANK PARK
"POINT (-73.9828727419889 40.7769170304785)","12766088",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,SI-584G,"Located At: AMSTERDAM AV &amp; W 69 ST",016 X 008,,,"98",parking,Bus Stop,2021/06/30,"AMSTERDAM AV &amp; W 69 ST"
"POINT (-73.9827796365075 40.7770409714835)","12766089",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-148EA,TRUCK (SYMBOL) TRUCK LOADING ONLY 7AM-MIDNIGHT EXCEPT SUNDAY --> ,018 X 018,,South,"150",parking,Other Curb Side,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766091",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-66CA,2 HOUR METERED PARKING 9AM-10PM EXCEPT SUNDAY --> ,018 X 018,,North,"150",parking,Metered Parking,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766090",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-19BA,NO PARKING (SANITATION BROOM SYMBOL) 8:30AM-9AM EXCEPT SUNDAY --> ,018 X 012,,North,"150",parking,Street Cleaning,2021/06/30,
"POINT (-73.9827796365075 40.7770409714835)","12766092",P-01537287,E,"[ ""E"", ""East side"" ]",AMSTERDAM AVENUE,WEST   69 STREET,WEST   70 STREET,PS-9A,ZONE#114327 PAY BY CELL LOCATOR,018 X 006,,,"150",parking,Metered Parking,2021/06/30,"114327"
"POINT (-73.9762259726978 40.7780477600042)","11665315",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"495",parking,Street Cleaning,2019/08/30,
"POINT (-73.9775879066589 40.7786257753587)","11665305",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-1G,NO STANDING ANYTIME <-> ,018 X 012,,,"78",parking,No Standing,2015/09/18,FOR THE BIKE SHARE STATION.
"POINT (-73.9775059377425 40.7785909878542)","11665306",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-1GA,NO STANDING ANYTIME --> ,018 X 012,,West,"104",parking,No Standing,2015/09/18,
"POINT (-73.9773798318846 40.7785374685023)","11665307",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM --> ,018 X 012,,West,"144",parking,Street Cleaning,2015/09/18,
"POINT (-73.9772032840241 40.7784625411771)","11665308",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"200",parking,No Standing,2015/09/18,PARKSIDE SCHOOL
"POINT (-73.9770771786526 40.778409021493)","11665372",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-2GA,NO PARKING ANYTIME --> ,018 X 012,,West,"240",parking,No Parking (Non-ASP),2019/12/26,#46 ICL JOSELOW HOUSE
"POINT (-73.9769636839917 40.7783608536589)","11665310",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"276",parking,Street Cleaning,2015/09/18,
"POINT (-73.9766831006735 40.7782417715878)","11665311",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"365",parking,Street Cleaning,2015/09/18,
"POINT (-73.9764403496237 40.7781387449734)","11665312",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"442",parking,No Standing,2019/05/01,
"POINT (-73.9763572679241 40.7780628731269)","11665313",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"442",parking,Street Cleaning,2019/08/30,
"POINT (-73.9762732616752 40.7780678302524)","11665314",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"495",parking,No Standing,2019/08/30,ROBERT LOUIS STEVENSON SCHOOL
"POINT (-73.9762102097117 40.7780410699171)","11665316",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"515",parking,No Standing,2019/08/30,WILLIAM ALANSON WHITE INSTITUTE
"POINT (-73.9762102097117 40.7780410699171)","11665317",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"515",parking,Street Cleaning,2019/08/30,
"POINT (-73.9761156318614 40.7780009293494)","11665318",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"545",parking,No Standing,2019/08/30,
"POINT (-73.9761156318614 40.7780009293494)","11665319",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"545",parking,Street Cleaning,2019/08/30,
"POINT (-73.9760588852059 40.7779768449713)","11665320",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"563",parking,Street Cleaning,2019/05/01,
"POINT (-73.9757215587125 40.7778336761455)","11665321",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"670",parking,Street Cleaning,2015/09/18,
"POINT (-73.9753211824206 40.7776637455059)","11665322",S-01401357,S,"[ ""S"", ""South side"" ]",WEST   74 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-68B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9AM-10:30AM <-> ,018 X 012,,,"797",parking,Street Cleaning,2015/09/18,
"POINT (-73.9762960184353 40.7915690034711)","11261225",S-01362318,N,"[ ""N"", ""North side"" ]",WEST   90 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-57B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> ,018 X 012,,,"443",parking,Street Cleaning,2017/12/20,
"POINT (-73.9764472863767 40.7916333471923)","11261224",S-01362318,N,"[ ""N"", ""North side"" ]",WEST   90 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-57B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> ,018 X 012,,,"395",parking,Street Cleaning,2017/12/20,
"POINT (-73.9769830293544 40.7918612296027)","11261223",S-01362318,N,"[ ""N"", ""North side"" ]",WEST   90 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-57B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> ,018 X 012,,,"225",parking,Street Cleaning,2017/12/20,
"POINT (-73.9775093216153 40.7920850881263)","11261222",S-01362318,N,"[ ""N"", ""North side"" ]",WEST   90 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-57B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 9:30AM-11AM <-> ,018 X 012,,,"58",parking,Street Cleaning,2017/12/20,
"POINT (-73.9819557873822 40.7708095436205)","10737430",P-01311149,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   62 STREET,WEST   63 STREET,PS-121B,NO PARKING (SANITATION BROOM SYMBOL) 7:30AM-8AM EXCEPT SUNDAY <-> ,018 X 012,,,"68",parking,Street Cleaning,2017/06/23,
"POINT (-73.9819557873822 40.7708095436205)","10737448",P-01311149,E,"[ ""E"", ""East side"" ]",BROADWAY,WEST   62 STREET,WEST   63 STREET,PS-64C,2 HOUR METERED PARKING 8AM-10PM EXCEPT SUNDAY <-> ,018 X 018,,,"68",parking,Metered Parking,2018/10/18,
"POINT (-73.9611662071674 40.7964854439008)","13418239",S-01606498,W,"[ ""W"", ""West side"" ]",CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,SP-477BA,BUS STOP SIGN(NO STANDING),"20"" DIA.",,North,"106",parking,Bus Stop,2009/10/03,"401328"
"POINT (-73.9611662071674 40.7964854439008)","13418240",S-01606498,W,"[ ""W"", ""West side"" ]",CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,SI-1878G,ROUTE: M10,14.12 X 6,,,"106",parking,Bus Stop,2018/03/07,M10
"POINT (-73.9611662071674 40.7964854439008)","13418241",S-01606498,W,"[ ""W"", ""West side"" ]",CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,SI-1879G,DESTINATION: COLUMBUS CIRCLE,18.12 X 6,,,"106",parking,Bus Stop,2010/08/05,COLUMBUS CIRCLE
"POINT (-73.9611662071674 40.7964854439008)","13418242",S-01606498,W,"[ ""W"", ""West side"" ]",CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,SI-584G,"Located At: CENTRAL PK W &amp; W 104 ST",016 X 008,,,"106",parking,Bus Stop,2009/10/03,"CENTRAL PK W &amp; W 104 ST"
"POINT (-73.9756253678667 40.7794612384978)","11315453",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"404",parking,Street Cleaning,2019/06/20,
"POINT (-73.9764847519445 40.7798226391457)","11315451",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"132",parking,Street Cleaning,2019/06/20,
"POINT (-73.9766458874976 40.7798904010514)","11315450",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"81",parking,Street Cleaning,2019/06/20,
"POINT (-73.9743994979003 40.7789456999772)","11315457",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-1GA,NO STANDING ANYTIME --> ,018 X 012,,East,"792",parking,No Standing,2019/06/20,
"POINT (-73.9745069187365 40.7789908765561)","11315456",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"758",parking,Street Cleaning,2019/06/20,
"POINT (-73.974870254998 40.779143678946)","11315455",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"643",parking,Street Cleaning,2015/01/21,
"POINT (-73.975246230798 40.7793017949918)","11315454",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"524",parking,Street Cleaning,,
"POINT (-73.9760329422406 40.7796326388713)","11315452",S-01367495,S,"[ ""S"", ""South side"" ]",WEST   76 STREET,COLUMBUS AVENUE,CENTRAL PARK WEST,PS-55B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11AM-12:30PM <-> ,018 X 012,,,"275",parking,Street Cleaning,2019/06/20,
"POINT (-73.9801088005687 40.7898345326227)","11667674",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"79",parking,Street Cleaning,2019/12/24,
"POINT (-73.979802812101 40.7897049259498)","11667676",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"176",parking,Street Cleaning,2019/12/24,
"POINT (-73.9795031338287 40.7895779907896)","11667677",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"271",parking,Street Cleaning,2019/12/24,
"POINT (-73.9791876842502 40.7894443739869)","11667678",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"371",parking,Street Cleaning,2019/12/24,
"POINT (-73.9781687907615 40.7890127857972)","11667695",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-1GA,NO STANDING ANYTIME --> ,018 X 012,,East,"694",parking,No Standing,2019/12/24,DAYLIGHTING
"POINT (-73.9781687907615 40.7890127857972)","11667638",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50BA,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM --> ,018 X 012,,West,"694",parking,Street Cleaning,2019/12/24,
"POINT (-73.978884853846 40.7893161010415)","11667688",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"467",parking,Street Cleaning,2019/12/24,
"POINT (-73.978414838134 40.7891170091598)","11667691",S-01401642,S,"[ ""S"", ""South side"" ]",WEST   86 STREET,RIVERSIDE DRIVE,WEST END AVENUE,PS-50B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 9:30AM-11AM <-> ,018 X 012,,,"616",parking,Street Cleaning,2019/12/27,
"POINT (-73.9613948461031 40.7963387516802)","13418422",S-01606498,W,"[ ""W"", ""West side"" ]",CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"169",parking,Street Cleaning,,
"POINT (-73.9698743951636 40.789806077411)","11120832",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,PS-57C,2 HOUR METERED PARKING MONDAY-FRIDAY 4PM-7PM SATURDAY 9AM-7PM <-> ,018 X 024,,,"208",parking,Metered Parking,2020/07/29,
"POINT (-73.9698743951636 40.789806077411)","11120833",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,PS-9A,ZONE#113825 PAY BY CELL LOCATOR,018 X 006,,,"208",parking,Metered Parking,2020/07/29,"113825"
"POINT (-73.9696026866546 40.7900074315387)","11120829",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,SP-477BA,BUS STOP SIGN(NO STANDING),"20"" DIA.",,North,"120",parking,Bus Stop,2018/10/31,"401091"
"POINT (-73.9696026866546 40.7900074315387)","11120881",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,SI-1925G,REAL TIME PUBLIC INFORMATION BOX (FOR FULL TIME BUS STOPS),040 X 029,,,"120",parking,Bus Stop,2018/10/31,"M7- W14 ST,  M11-WEST VILLAGE
COLUMBUS AV & W 92 ST"
"POINT (-73.9698743951636 40.789806077411)","11120830",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,PS-37G,NO STANDING MONDAY-FRIDAY 7AM-10AM <-> ,018 X 012,,,"208",parking,No Standing,2020/07/29,
"POINT (-73.9698743951636 40.789806077411)","11120831",P-01348366,W,"[ ""W"", ""West side"" ]",COLUMBUS AVENUE,WEST   92 STREET,WEST   91 STREET,PS-192E,TRUCK (SYMBOL) TRUCK LOADING ONLY MONDAY-FRIDAY 10AM-4PM <-> ,018 X 018`,,,"208",parking,Other Curb Side,2020/07/29,
"POINT (-73.968421064138 40.7931405362986)","10760921",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> ,018 X 012,,,"607",parking,Street Cleaning,2015/01/07,
"POINT (-73.9686774287973 40.7932503954549)","10760920",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> ,018 X 012,,,"525",parking,Street Cleaning,2015/01/07,
"POINT (-73.9690168436882 40.7933932131534)","10760919",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> ,018 X 012,,,"418",parking,Street Cleaning,2015/01/07,
"POINT (-73.9680455448217 40.7929812384545)","10760922",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> ,018 X 012,,,"726",parking,Street Cleaning,2015/01/07,
"POINT (-73.9700531498315 40.7938326438435)","10760913",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SI-584G,Located At: W 96 ST & AMSTERDAM AV,016 X 008,,,"89",parking,Bus Stop,2017/03/28,W 96 ST & AMSTERDAM AV
"POINT (-73.9700531498315 40.7938326438435)","10760912",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SI-1879G,DESTINATION: EAST HARLEM,18.12 X 6,,,"89",parking,Bus Stop,2017/03/28,EAST HARLEM
"POINT (-73.9700531498315 40.7938326438435)","10760911",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SI-1878G,ROUTE: M106,14.12 X 6,,,"89",parking,Bus Stop,2017/03/28,M106
"POINT (-73.9700531498315 40.7938326438435)","10760910",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SI-1879G,DESTINATION: UPPER EAST SIDE,18.12 X 6,,,"89",parking,Bus Stop,2017/03/28,UPPER EAST SIDE
"POINT (-73.9693598702909 40.7935387755389)","10760918",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-80B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 11:30AM-1PM <-> ,018 X 012,,,"309",parking,Street Cleaning,2015/01/07,
"POINT (-73.9698003909437 40.793725533433)","10760917",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-9A,ZONE#112698 PAY BY CELL LOCATOR,018 X 006,,,"169",parking,Metered Parking,2019/03/13,"112698"
"POINT (-73.9698003909437 40.793725533433)","10760925",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-54CA,2 HOUR METERED PARKING 9AM-7PM EXCEPT SUNDAY --> ,018 X 018,,West,"169",parking,Metered Parking,2019/03/13,
"POINT (-73.9700531498315 40.7938326438435)","10760908",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SP-477BA,BUS STOP SIGN(NO STANDING),"20"" DIA.",,West,"89",parking,Bus Stop,2017/03/28,"401935"
"POINT (-73.9700531498315 40.7938326438435)","10760909",P-01313407,S,"[ ""S"", ""South side"" ]",WEST   96 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,SI-1878G,ROUTE: M96,14.12 X 6,,,"89",parking,Bus Stop,2017/03/28,M96
