WKT,id,order_number,sos,sos_new,on_street,from_street,to_street,smo_code,sign_description,size_description,facing_direction_type,arrow_points,distance_from_intersection,smo_category,smo_subtype,last_work_date,notes
"POINT (-73.9637061899381 40.8012982009592)","12054249",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"333",parking,No Standing,2015/03/03,
"POINT (-73.9637061899381 40.8012982009592)","12054250",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"333",parking,Street Cleaning,2015/03/03,
"POINT (-73.9633934734021 40.8011664214926)","12054251",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"432",parking,No Standing,2015/03/03,
"POINT (-73.9668376305384 40.7916893760497)","12054395",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"526",parking,Street Cleaning,2017/06/23,
"POINT (-73.9624742834802 40.8007790647997)","12054259",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"723",parking,Street Cleaning,2015/03/05,
"POINT (-73.9625311402784 40.8008030252209)","12054258",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"705",parking,Street Cleaning,2015/03/03,
"POINT (-73.9625311402784 40.8008030252209)","12054257",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,West,"705",parking,No Standing,2015/03/03,
"POINT (-73.9627206632345 40.8008828930882)","12054256",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-12B,NO PARKING (SANITATION BROOM SYMBOL) TUESDAY FRIDAY 8:30AM-10AM <-> ,018 X 012,,,"645",parking,Street Cleaning,2015/03/03,
"POINT (-73.9627206632345 40.8008828930882)","12054255",S-01450068,S,"[ ""S"", ""South side"" ]",WEST  108 STREET,AMSTERDAM AVENUE,COLUMBUS AVENUE,PS-31GA,NO STANDING SCHOOL DAYS 7AM-4PM --> ,018 X 012,,East,"645",parking,No Standing,2015/03/03,
"POINT (-73.9676845332837 40.7920454596933)","12054398",S-01450079,N,"[ ""N"", ""North side"" ]",WEST   95 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,PS-16B,NO PARKING (SANITATION BROOM SYMBOL) MONDAY THURSDAY 11:30AM-1PM <-> ,018 X 012,,,"794",parking,Street Cleaning,2016/04/05,
