"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"677 Fifth Avenue","1-01289-0003","1930","1","Office","31235","Retail Store","4256","Not Available","Not Available","440.7","Not Available","Gross Floor Area is too small","35491","31235","Not Available","Not Available","4256","Not Available","35491","Not Available","Not Available","Not Available","Not Available","444994","Not Available","Not Available","1516312.5"
"67 WEST 47th STREET","1-01263-0005","1928","1","Manufacturing/Industrial Plant","49265","Office","35551","Not Available","Not Available","462.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","84816","35551","Not Available","Not Available","Not Available","Not Available","84816","Not Available","Not Available","Not Available","Not Available","1535702.8","18159.9","181.5994322","1327653.8"
"680 Fifth Avenue","1012690041","1957","1","Office","230675","Not Available","Not Available","Not Available","Not Available","954","Not Available","Weekly Operating Hours is outside the allowed range","230675","230675","Not Available","Not Available","Not Available","Not Available","230675","Not Available","Not Available","Not Available","Not Available","7234765.9","Not Available","Not Available","1747016.5"
"681 Fifth Avenue","1012890072","2009","1","Office","60063","Retail Store","22510","Not Available","Not Available","248.3","Not Available","Weekly Operating Hours is outside the allowed range, Number of Workers on Main Shift is too small","82573","60063","Not Available","Not Available","22510","Not Available","82573","Not Available","Not Available","Not Available","Not Available","128030.4","684946.2","6849.462282","750360.6"
"685 5th Ave","1012897501","1926","1","Office","88150","Retail Store","27547","Not Available","Not Available","616.9","Not Available","Single Store is marked as No","115697","88150","Not Available","Not Available","27547","Not Available","115697","Not Available","Not Available","Not Available","Not Available","1872408.8","Not Available","Not Available","1816914.1"
"685 Third Ave","1013170001","1960","1","Office","621001","Retail Store","10740","Self-Storage Facility","8761","2674.6","89","Not Available","645347","621001","Not Available","Not Available","10740","Not Available","645347","Not Available","Not Available","Not Available","Not Available","14175451.7","76898.5","768.984765","6378270.2"
"687 Lexington Avenue","1-01311-0052","1927","1","Hotel","68308","Not Available","Not Available","Not Available","Not Available","252.4","94","Not Available","68308","Not Available","Not Available","Not Available","Not Available","Not Available","68308","Not Available","Not Available","Not Available","Not Available","685276.6","875500.6","8755.00619","591721.2"
"689 Columbus Ave","1012070001","1967","2","Multifamily Housing","285850","Other","18100","Not Available","Not Available","1849.1","59","Not Available","303950","Not Available","285850","Not Available","Not Available","Not Available","303950","Not Available","16591187.9","Not Available","Not Available","1853014.2","1009340.6","10093.40604","1627433.7"
"689 FIfth Avenue","1012900001","1926","1","Office","80673","Retail Store","14093","Not Available","Not Available","790.2","Not Available","Weekly Operating Hours is outside the allowed range","94766","80673","Not Available","Not Available","14093","Not Available","94766","Not Available","Not Available","Not Available","Not Available","4461284.5","Not Available","Not Available","1822095.7"
"693 5 Avenue","1012900003","1991","1","Office","86500","Retail Store","19900","Not Available","Not Available","525.1","66","Not Available","106400","86500","Not Available","Not Available","19900","Not Available","106400","Not Available","Not Available","Not Available","Not Available","2266904.5","0","0","1381613"
"69 Fifth Avenue","1-00842-7501","1961","1","Multifamily Housing","168270","Bank Branch","10000","Parking","7000","898.8","49","Not Available","179323","Not Available","168270","7000","Not Available","Not Available","179323","7000","Not Available","Not Available","Not Available","8694027.9","254810.2","2548.102293","1136146.9"
"6 East 43rd Street","1-01277-0008","1969","1","Office","319422","Financial Office","21299","Not Available","Not Available","1688","95","Not Available","340721","319422","Not Available","Not Available","Not Available","Not Available","340721","Not Available","Not Available","Not Available","Not Available","13068789.3","268103.9","2681.038735","2972807.1"
"6 East 45th St","1-01279-0065","1929","1","Office","56095","Food Service","7350","Medical Office","5940","538.3","23","Not Available","69385","56095","Not Available","Not Available","Not Available","Not Available","69385","Not Available","Not Available","Not Available","Not Available","2704465.1","1351442.1","13514.42137","1058298.6"
