"address_1","nyc_borough_block_and_lot_bbl","year_built","number_of_buildings","largest_property_use_type","largest_property_use_type_gross_floor_area_ft","_2nd_largest_property_use_type","_2nd_largest_property_use_gross_floor_area_ft","_3rd_largest_property_use_type","_3rd_largest_property_use_type_gross_floor_area_ft","total_ghg_emissions_metric_tons_co2e","energy_star_score","reason_s_for_no_score","property_gfa_self_reported_ft","office_gross_floor_area_ft","multifamily_housing_gross_floor_area_ft","parking_gross_floor_area_ft","retail_store_gross_floor_area_ft","supermarket_grocery_gross_floor_area_ft","property_gfa_calculated_buildings_ft","property_gfa_calculated_parking_ft","fuel_oil_2_use_kbtu","fuel_oil_4_use_kbtu","diesel_2_use_kbtu","district_steam_use_kbtu","natural_gas_use_kbtu","natural_gas_use_therms","electricity_use_grid_purchase_kwh"
"15 Maiden Lane","1000650007","1908","1","Office","134840","Financial Office","5067","Other","2933","476.5","88","Not Available","144200","134840","Not Available","Not Available","Not Available","Not Available","144200","Not Available","Not Available","Not Available","Not Available","2922949.5","Not Available","Not Available","1041546.5"
"15 West 39th Street","1-00841-0027","1925","1","Office","74056","Restaurant","5000","Not Available","Not Available","412","71","Not Available","79056","74056","Not Available","Not Available","Not Available","Not Available","79056","Not Available","Not Available","Not Available","Not Available","1946523.9","1350749.6","13507.49632","778390.9"
"15 West 3rd Street","1-01116-7502","1999","1","Multifamily Housing","205665","Not Available","Not Available","Not Available","Not Available","652.6","66","Not Available","205665","Not Available","205665","Not Available","Not Available","Not Available","205665","Not Available","Not Available","Not Available","Not Available","2458447.8","17701.8","177.0183825","1801284"
"15 William Street","1-00025-7501","2005","1","Multifamily Housing","477747","Parking","46329","Supermarket/Grocery Store","6092","2087.8","76","Not Available","483839","Not Available","477747","46329","Not Available","6092","483839","46329","Not Available","Not Available","Not Available","12114942.2","4118549.1","41185.49132","3926770"
"1601 Broadway","1010200046","1989","1","Hotel","588696","Office","204854","Parking","36063","4104.6","72","Not Available","824966","204854","Not Available","36063","Not Available","Not Available","824966","36063","Not Available","Not Available","Not Available","23640123.4","869672.7","8696.727399","9179311.3"
"160 E 34th Street","1-00889-0050","2004","1","Urgent Care/Clinic/Other Outpatient","157539","Not Available","Not Available","Not Available","Not Available","1780.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","157539","Not Available","Not Available","Not Available","Not Available","Not Available","157539","Not Available","Not Available","Not Available","Not Available","5714066","Not Available","Not Available","5166534.6"
"160 East 38th Street","1-00893-0041","1975","1","Multifamily Housing","302706","Retail Store","27000","Not Available","Not Available","2036.4","13","Not Available","329706","Not Available","302706","Not Available","27000","Not Available","329706","Not Available","Not Available","Not Available","Not Available","15978691.2","1991827.8","19918.27763","3207452.3"
"160 East 48th Street","1-01302-0033","1929","1","Multifamily Housing","290789","Restaurant","13211","Not Available","Not Available","1906.5","20","Not Available","304000","Not Available","290789","Not Available","Not Available","Not Available","304000","Not Available","Not Available","Not Available","Not Available","15729067.6","845745.4","8457.45405","3013986.3"
"160 East 72nd St","1014060050","1928","1","Multifamily Housing","67444","Not Available","Not Available","Not Available","Not Available","268.9","60","Not Available","67444","Not Available","67444","Not Available","Not Available","Not Available","67444","Not Available","Not Available","Not Available","Not Available","2781757.6","34448.7","344.4869119","303835.7"
"160 Water St","1000700043","1972","1","Office","481282","Data Center","576","Not Available","Not Available","4182.6","55","Not Available","481858","481282","Not Available","Not Available","Not Available","Not Available","481858","Not Available","Not Available","Not Available","Not Available","31748243.8","Not Available","Not Available","7651649"
"160 West 66th Street","1-01137-7501","1989","1","Multifamily Housing","404798","Not Available","Not Available","Not Available","Not Available","3633.5","1","Not Available","404798","Not Available","404798","Not Available","Not Available","Not Available","404798","Not Available","Not Available","Not Available","Not Available","13439484.6","205951.8","2059.518377","10069922.2"
"160 West End Avenue","1-01158-7501","1962","1","Multifamily Housing","472590","Medical Office","5841","Self-Storage Facility","2716","2172.1","57","Not Available","480000","Not Available","472590","Not Available","Not Available","Not Available","481931","Not Available","Not Available","Not Available","Not Available","18388428","1254151.4","12541.51401","3262432.7"
"161 East 79th Street","1-01508-0024","1915","1","Multifamily Housing","56500","Not Available","Not Available","Not Available","Not Available","248.3","92","Not Available","56500","Not Available","56500","Not Available","Not Available","Not Available","56500","Not Available","Not Available","Not Available","Not Available","2657328.8","38291.4","382.9144249","257541.5"
"161 William St","1000927502","1985","1","College/University","127145","Office","60373","Not Available","Not Available","826.8","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","187518","60373","Not Available","Not Available","Not Available","Not Available","187518","Not Available","Not Available","Not Available","Not Available","5895412.7","Not Available","Not Available","1605539.8"
"162 EAST 68 STREET","1014020042","1974","1","K-12 School","38259","Not Available","Not Available","Not Available","Not Available","500.4","5","Not Available","38259","Not Available","Not Available","Not Available","Not Available","Not Available","38259","Not Available","Not Available","Not Available","Not Available","5517421.1","Not Available","Not Available","494527.2"
"1633 Broadway","1-01022-0043","1970","1","Office","2679616","Performing Arts","145192","Parking","81688","13850.5","76","Not Available","2837932","2679616","Not Available","81688","Not Available","Not Available","2837932","81688","Not Available","Not Available","Not Available","93312875.5","590953.7","5909.53702","28116860.5"
"1634 Broadway","1010220026","1923","1","Performing Arts","55183","Restaurant","22000","Retail Store","2500","555.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","81183","Not Available","Not Available","Not Available","2500","Not Available","81183","Not Available","Not Available","Not Available","Not Available","2831485.6","848415.2","8484.151689","1189453.7"
"1646 1 Ave","1015650001","1968","1","Multifamily Housing","177586","Parking","12000","Financial Office","4000","1059.6","18","Not Available","181836","Not Available","177586","12000","Not Available","Not Available","181836","12000","Not Available","Not Available","Not Available","10548381.5","467964.1","4679.6411","1233211.6"
"165-215 Park Row","1-00117-0001","1960","3","Multifamily Housing","473200","Retail Store","35468","Parking","0","2761.2","56","Not Available","508668","Not Available","473200","0","35468","Not Available","508668","87120","Not Available","Not Available","Not Available","30140601.2","3093686.1","30936.861","2196770.2"
"1657 Broadway","1010230018","1929","1","Hotel","224216","Office","85404","Retail Store","15596","1801","57","Not Available","325216","85404","Not Available","Not Available","15596","Not Available","325216","Not Available","Not Available","Not Available","Not Available","4924341.6","2030197.3","20301.97327","5038872.8"
"165 Broadway","1-00062-7501","1972","1","Office","2281918","Social/Meeting Hall","41501","Data Center","18000","11683.1","70","Not Available","2346193","2281918","Not Available","Not Available","Not Available","Not Available","2346193","Not Available","Not Available","Not Available","Not Available","65234835.7","317548.4","3175.483895","27052579.7"
"165 E 56th Street","1-01311-0033","1958","1","Office","64449","Bank Branch","2877","Fast Food Restaurant","2272","222","88","Not Available","69598","64449","Not Available","Not Available","Not Available","Not Available","69598","Not Available","Not Available","Not Available","Not Available","897816","Not Available","Not Available","598817.8"
"165 East 32nd Street","1-00888-0037","1964","1","Multifamily Housing","137586","Food Sales","2850","Not Available","Not Available","482.1","84","Not Available","140436","Not Available","137586","Not Available","Not Available","Not Available","140436","Not Available","Not Available","Not Available","Not Available","3480757.1","334556.6","3345.566458","860101.5"
"165 East 72nd St","1-01407-0033","1958","1","Multifamily Housing","274340","Parking","17500","Financial Office","12324","1239.9","69","Not Available","291500","Not Available","274340","17500","Not Available","Not Available","291500","17500","Not Available","Not Available","Not Available","12710128.4","426378","4263.780261","1376894.2"
"165 West 66th Street","1011380001","1962","1","Multifamily Housing","407070","Parking","18000","Personal Services (Health/Beauty, Dry Cleaning, etc.)","4822","2574.9","Not Available","Number of Workers on Main Shift is too small, Weekly Operating Hours is outside the allowed range, Gross Floor Area is too small","422976","3462","407070","18000","1111","Not Available","422976","18000","Not Available","25608107.9","Not Available","63417.7","523289","5232.88975","2267823"
"165 West End Ave.","1-01179-7501","1962","1","Multifamily Housing","567074","Parking","51446","Not Available","Not Available","2847.4","47","Not Available","567074","Not Available","567074","51446","Not Available","Not Available","567074","51446","Not Available","Not Available","Not Available","29571881.6","1028843","10288.43017","3058346.4"
"166 3 AVENUE","1008720035","1963","1","Multifamily Housing","224275","Retail Store","12000","Not Available","Not Available","1574.3","12","Not Available","236275","Not Available","224275","Not Available","12000","Not Available","236275","Not Available","Not Available","Not Available","Not Available","13556651","1295016.7","12950.16742","2232923.4"
"166 East 61st Street","1-01395-7501","1963","1","Multifamily Housing","206883","Not Available","Not Available","Not Available","Not Available","777.5","54","Not Available","206883","Not Available","206883","Not Available","Not Available","Not Available","206883","Not Available","Not Available","Not Available","Not Available","6109095.2","271261.2","2712.611803","1318547"
"1675 Broadway","1010240015","1989","1","Office","766115.1","Parking","19599","Not Available","Not Available","2599.9","84","Not Available","752000","766115.1","Not Available","19599","Not Available","Not Available","766115.1","19599","Not Available","Not Available","Not Available","10957722.5","Not Available","Not Available","6905604.9"
"167 E 84th St","1-01513-7501","1987","1","Parking","273113","Not Available","Not Available","Not Available","Not Available","1411.9","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","273113","Not Available","Not Available","273113","Not Available","Not Available","273113","273113","Not Available","Not Available","Not Available","10971770.8","313123.5","3131.235099","2459117.4"
"167 East 61st Street","1-01396-0033","1984","1","Multifamily Housing","260709","Not Available","Not Available","Not Available","Not Available","1583.3","10","Not Available","260709","Not Available","260709","Not Available","Not Available","Not Available","260709","Not Available","Not Available","Not Available","Not Available","11120912.4","958116","9581.159522","2928650.6"
"167 East 67th St","1014020033","1960","1","Multifamily Housing","103900","Retail Store","5300","Not Available","Not Available","746.2","11","Not Available","109200","Not Available","103900","Not Available","5300","Not Available","109200","Not Available","Not Available","Not Available","Not Available","7470850.9","231416.7","2314.166642","877253.3"
"1681 Broadway","1-01024-0046","1924","1","Performing Arts","36000","Not Available","Not Available","Not Available","Not Available","176.6","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","36000","Not Available","Not Available","Not Available","Not Available","Not Available","36000","Not Available","Not Available","Not Available","Not Available","1028080.9","Not Available","Not Available","399410.3"
"169 East 69th Street","1-01404-0033","1961","1","Multifamily Housing","266000","Retail Store","5000","Not Available","Not Available","782.1","91","Not Available","271000","Not Available","266000","Not Available","5000","Not Available","271000","Not Available","Not Available","Not Available","Not Available","8462973.6","149144.3","1491.443187","782697.1"
"16 East 34th Street","1-00863-0013","1925","1","Office","349683","Not Available","Not Available","Not Available","Not Available","995.5","92","Not Available","349683","349683","Not Available","Not Available","Not Available","Not Available","349683","Not Available","Not Available","Not Available","Not Available","4301028.2","Not Available","Not Available","2618310.8"
"16 East 52nd Street","1012870058","1927","1","Medical Office","90816","Not Available","Not Available","Not Available","Not Available","559.9","66","Not Available","90816","Not Available","Not Available","Not Available","Not Available","Not Available","90816","Not Available","Not Available","Not Available","Not Available","2053939.5","919277.6","9192.775799","1382144.4"
"16 Sutton Place","1-01369-0026","1967","1","Multifamily Housing","130000","Not Available","Not Available","Not Available","Not Available","429.4","92","Not Available","130000","Not Available","130000","Not Available","Not Available","Not Available","130000","Not Available","Not Available","Not Available","Not Available","4243657.8","156547.9","1565.478762","513839.9"
"1700 Broadway","1010250025","1968","1","Office","586396.9","Parking","32000","Other","7633.1","4596.1","43","Not Available","594030","586396.9","Not Available","32000","Not Available","Not Available","594030","32000","Not Available","Not Available","Not Available","38758168.4","497488.6","4974.885893","7362368.2"
"170-184  E. 87th Street","1-01515-7503","1991","1","Multifamily Housing","282597","Other - Entertainment/Public Assembly","52621","Retail Store","5500","1890.6","33","Not Available","340718","Not Available","282597","Not Available","5500","Not Available","340718","Not Available","Not Available","Not Available","Not Available","12739688.4","397630","3976.30026","3775381.2"
"170 Park Row","1-00161-0001","1965","1","Multifamily Housing","319136","Not Available","Not Available","Not Available","Not Available","1752.4","36","Not Available","319136","Not Available","319136","Not Available","Not Available","Not Available","319136","Not Available","Not Available","Not Available","Not Available","20053003.2","815240","8152.40002","1392581.5"
"170 West 23rd Street","1-00798-7502","1973","1","Multifamily Housing","181300","Retail Store","25473","Parking","20437","1067.5","21","Not Available","206773","Not Available","181300","20437","25473","Not Available","206773","20437","Not Available","Not Available","Not Available","5479957.5","2357887.6","23578.87559","2133194.6"
"170 West End Avenue","1-01158-7505","1962","1","Multifamily Housing","472534.2","Not Available","Not Available","Not Available","Not Available","2003.9","64","Not Available","467714","Not Available","472534.2","Not Available","Not Available","Not Available","472534.2","Not Available","Not Available","Not Available","Not Available","16446452.3","1121913.6","11219.1361","3143523.2"
"170 William St","1-00100-0001","1953","1","Hospital (General Medical & Surgical)","340155","Not Available","Not Available","Not Available","Not Available","6761","26","Not Available","340155","Not Available","Not Available","Not Available","Not Available","Not Available","340155","Not Available","Not Available","Not Available","Not Available","54649380.2","560500","5604.999963","11443198.1"
"171 East 84th Street","1-01513-7501","1987","1","Multifamily Housing","249970","Parking","20407","Retail Store","17143","1411.9","52","Not Available","272113","5000","249970","20407","17143","Not Available","272113","20407","Not Available","Not Available","Not Available","10971770.8","313123.5","3131.235099","2459052.3"
"1740 Broadway","1010270020","1950","1","Office","593516","Bank Branch","7454","Data Center","2500","2923.2","69","Not Available","603470","593516","Not Available","Not Available","Not Available","Not Available","603470","Not Available","Not Available","Not Available","Not Available","18614698.8","79105.9","791.0588742","6207404.5"
"1740 Broadway","1-01027-0020","1951","1","Office","572638","Not Available","Not Available","Not Available","Not Available","2924.6","81","Not Available","572638","572638","Not Available","Not Available","Not Available","Not Available","572638","Not Available","Not Available","Not Available","Not Available","18882010.3","Not Available","Not Available","6162522.4"
"175 East 62nd Street, NYC 10065","1-01397-0033","1962","1","Multifamily Housing","158277","Other","4101","Not Available","Not Available","1029.9","15","Not Available","162378","Not Available","158277","Not Available","Not Available","Not Available","162378","Not Available","Not Available","Not Available","Not Available","5055853.7","6770270.3","67702.70321","1234087.8"
"175 Water St","1000717501","1982","1","Office","699206","Not Available","Not Available","Not Available","Not Available","2382.8","86","Not Available","699206","699206","Not Available","Not Available","Not Available","Not Available","699206","Not Available","Not Available","Not Available","Not Available","5385549.4","362725.5","3627.254536","7398387"
"175 West 13th Street","1006090001","1961","1","Multifamily Housing","142169","Other","2607","Not Available","Not Available","730.2","84","Not Available","144776","Not Available","142169","Not Available","Not Available","Not Available","144776","Not Available","Not Available","Not Available","Not Available","8178823.4","305269.7","3052.696968","630285.3"
"176 West 94th Street","1-01224-0058","1967","1","Multifamily Housing","96184","Not Available","Not Available","Not Available","Not Available","579","41","Not Available","96184","Not Available","96184","Not Available","Not Available","Not Available","96184","Not Available","Not Available","Not Available","Not Available","6418286.8","361337.6","3613.375649","492883.3"
"1775 Broadway & 235 W 56th St","1010287501","1985","1","Multifamily Housing","409506","Office","277333","Parking","31417","3343.5","70","Not Available","697639","277333","409506","31417","Not Available","Not Available","697639","31417","Not Available","Not Available","Not Available","28274737.2","825446.5","8254.464769","5245601.6"
"177 E. 75th Street","1014100033","1962","1","Multifamily Housing","186802","Not Available","Not Available","Not Available","Not Available","916","43","Not Available","186802","Not Available","186802","Not Available","Not Available","Not Available","186802","Not Available","Not Available","Not Available","Not Available","9286351.8","314904.7","3149.046998","1042632.2"
"178 East 70th Street","1014040041","1913","1","Multifamily Housing","36745","Not Available","Not Available","Not Available","Not Available","505.1","1","Not Available","36745","Not Available","36745","Not Available","Not Available","Not Available","36745","Not Available","Not Available","3027942.9","Not Available","3764570","40449.6","404.4964087","92290.4"
"17 Lexington Ave","1008780020","1895","7","College/University","1580556","Not Available","Not Available","Not Available","Not Available","8385.1","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","1580556","Not Available","Not Available","Not Available","Not Available","Not Available","1580556","Not Available","0","0","6844.8","26378433","24678114.9","246781.1486","19630300.5"
"17 State Street","1000090014","1987","1","Office","575860","Not Available","Not Available","Not Available","Not Available","2482.2","84","Not Available","575860","575860","Not Available","Not Available","Not Available","Not Available","575860","Not Available","Not Available","Not Available","Not Available","9582057.4","Not Available","Not Available","6808566.6"
"17 West 54th Street","1012700020","1935","1","Multifamily Housing","208850","Retail Store","4000","Restaurant","1150","2059.3","Not Available","Gross Floor Area is too small","214000","Not Available","208850","Not Available","4000","Not Available","214000","Not Available","Not Available","Not Available","Not Available","27139629.3","674528.4","6745.284482","816558.4"
"180 Central Park South","1010110001","1927","1","Hotel","430000","Not Available","Not Available","Not Available","Not Available","2833.4","75","Not Available","430000","Not Available","Not Available","Not Available","Not Available","Not Available","430000","Not Available","Not Available","Not Available","Not Available","24806557.3","3028579.9","30285.79948","3782045.5"
"180 Madison Avenue","1008630067","1926","1","Office","216752","Adult Education","60528","Bank Branch","3676","932.6","86","Not Available","280956","216752","Not Available","Not Available","Not Available","Not Available","280956","Not Available","Not Available","Not Available","Not Available","4078513.9","Not Available","Not Available","2440713.1"
"180 Maiden Lane","1000370023","1983","1","Office","1189698","Not Available","Not Available","Not Available","Not Available","5059.1","75","Not Available","1189698","1189698","Not Available","Not Available","Not Available","Not Available","1189698","Not Available","Not Available","Not Available","Not Available","25854223.7","725492.3","7254.92263","12185550.2"
"180 Park Row","1-00161-0001","1915","1","Multifamily Housing","306862","Not Available","Not Available","Not Available","Not Available","1751.8","32","Not Available","306862","Not Available","306862","Not Available","Not Available","Not Available","306862","Not Available","Not Available","Not Available","Not Available","20053003.2","815240","8152.40002","1390490.4"
"180 West End Avenue","1-01158-7502","1965","1","Multifamily Housing","521080","Not Available","Not Available","Not Available","Not Available","2266.9","73","Not Available","521080","Not Available","521080","Not Available","Not Available","Not Available","521080","Not Available","Not Available","Not Available","Not Available","14818915","12587540.9","125875.4086","2265764.5"
"181 East 65th Street","1-01400-7501","2000","1","Multifamily Housing","231198","Retail Store","24763","Parking","9377","1065.4","50","Not Available","255961","Not Available","231198","9377","24763","Not Available","255961","9377","Not Available","Not Available","Not Available","4980564.7","948640","9486.400275","2524110.4"
"184 5th Avenue","1-00824-0042","1920","1","Office","26209","Retail Store","6312","Not Available","Not Available","103","90","Not Available","32521","26209","Not Available","Not Available","6312","Not Available","32521","Not Available","Not Available","Not Available","Not Available","284623.3","37423.9","374.2386531","302927.9"
"1855 Broadway","1011130047","1905","1","College/University","73500","Not Available","Not Available","Not Available","Not Available","790.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","73500","Not Available","Not Available","Not Available","Not Available","Not Available","73500","Not Available","Not Available","Not Available","Not Available","7124580.4","Not Available","Not Available","1170269.3"
"185 Madison Avenue, New York","1-00864-0025","1911","1","Office","84700","Bank Branch","3300","Not Available","Not Available","454.7","69","Not Available","88000","84700","Not Available","Not Available","Not Available","Not Available","88000","Not Available","Not Available","Not Available","Not Available","4152083.3","Not Available","Not Available","660131.3"
"185 West Broadway","10001760018","2009","1","College/University","235000","Not Available","Not Available","Not Available","Not Available","1138.1","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","235000","Not Available","Not Available","Not Available","Not Available","Not Available","235000","Not Available","Not Available","Not Available","Not Available","4466577.6","191431.5","1914.315157","3066203.4"
"185 West Broadway","1001760018; 1001760001; 1001760004","2009","3","College/University","344852","Not Available","Not Available","Not Available","Not Available","1631","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","344852","Not Available","Not Available","Not Available","Not Available","Not Available","344852","Not Available","Not Available","Not Available","Not Available","8462555.3","191431.5","1914.315157","3905702"
"185 West End Avenue","1-01179-7502","1960","1","Multifamily Housing","484804.6","Parking","127969","Not Available","Not Available","2631.7","42","Not Available","442046","Not Available","484804.6","127969","Not Available","Not Available","484804.6","127969","Not Available","Not Available","Not Available","26846226.5","799623.9","7996.23851","2975336.7"
"188 East 64th Street","1-01398-7501","1985","1","Multifamily Housing","215717","Supermarket/Grocery Store","18023","Parking","13000","2008.8","10","Not Available","244305","Not Available","215717","13000","Not Available","18023","244305","13000","Not Available","Not Available","Not Available","15679986.6","719680","7196.80046","3428222.6"
"188 East 70th Street","1-01404-7503","1986","1","Multifamily Housing","178169","Office","8700","Not Available","Not Available","654.8","59","Not Available","186869","8700","178169","Not Available","Not Available","Not Available","186869","Not Available","Not Available","Not Available","Not Available","3767342.2","121536.7","1215.366937","1468529.3"
"188 East 76th St","1014107503","1996","1","Multifamily Housing","134197","Medical Office","11292","Not Available","Not Available","794.3","41","Not Available","145489","Not Available","134197","Not Available","Not Available","Not Available","145489","Not Available","Not Available","Not Available","Not Available","6847908.8","352546.3","3525.46345","1183350.5"
"18 E 48th St","1-01283-0058","1928","1","Office","114874","Not Available","Not Available","Not Available","Not Available","669","64","Not Available","114874","114874","Not Available","Not Available","Not Available","Not Available","114874","Not Available","1752599.8","Not Available","Not Available","1439984.5","1187474.3","11874.74302","1402556.5"
"18 E 50th Street","1012850059","1915","1","Office","58342","Not Available","Not Available","Not Available","Not Available","445.4","35","Not Available","58342","58342","Not Available","Not Available","Not Available","Not Available","58342","Not Available","Not Available","Not Available","Not Available","3854424.8","Not Available","Not Available","698865.1"
"18 Gramercy Park South","1008757503","1927","1","Multifamily Housing","72888","Not Available","Not Available","Not Available","Not Available","431.3","Not Available","Total Number of Residential Living Units is too small","72888","Not Available","72888","Not Available","Not Available","Not Available","72888","Not Available","Not Available","Not Available","Not Available","2464528","982394.1","9823.941189","794799.8"
"190 East 72nd Street","1-01406-0041","1962","1","Multifamily Housing","294075","Retail Store","21500","Parking","16375","1192.3","82","Not Available","315575","Not Available","294075","16375","21500","Not Available","315575","16375","Not Available","Not Available","Not Available","8039430.3","389274.7","3892.747012","2352468"
"195 Broadway","1-00080-0001","1916","1","Office","1053692","Retail Store","20380","Restaurant","12500","4750","77","Not Available","1086572","1053692","Not Available","Not Available","20380","Not Available","1086572","Not Available","Not Available","Not Available","Not Available","24328183.8","2257909","22579.09048","11119020.1"
"1965 Broadway","1-01138-7502","1995","1","Multifamily Housing","385046","Hotel","114310","Retail Store","102277","2030.8","87","Not Available","601633","Not Available","385046","Not Available","102277","Not Available","601633","Not Available","Not Available","Not Available","Not Available","8425556.2","711596.7","7115.967215","5287241.1"
"1965 Broadway- 155 West 66th St","1-01138-7502,1-01138-7503","1995","2","Multifamily Housing","584122","Hotel","114310","Retail Store","110659","2464.7","88","Not Available","809091","Not Available","584122","Not Available","110659","Not Available","809091","Not Available","Not Available","Not Available","Not Available","14961323","711596.7","7115.967215","5287241.1"
"199 Chambers St","1-00142-0050","1983","1","College/University","723777","Not Available","Not Available","Not Available","Not Available","4590.4","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","723777","Not Available","Not Available","Not Available","Not Available","Not Available","723777","Not Available","Not Available","Not Available","0","24782148.8","654287","6542.87044","10733546.1"
"199 Water Street","1000747501","1984","1","Office","988890","Parking","19490","Retail Store","0","3937.7","77","Not Available","988890","988890","Not Available","19490","0","Not Available","988890","19490","Not Available","Not Available","Not Available","11169225.6","7012.5","70.1247323","11786815.1"
"19E 57th Street","1-01293-0014","2001","1","Office","97821","Other","3173","Not Available","Not Available","550.2","84","Not Available","100994","97821","Not Available","Not Available","Not Available","Not Available","100994","Not Available","Not Available","Not Available","Not Available","1963275.4","Not Available","Not Available","1548308.7"
"19 East 54th Street","1012900014","1993","1","Financial Office","25971","Not Available","Not Available","Not Available","Not Available","19.4","100","Not Available","25971","Not Available","Not Available","Not Available","Not Available","Not Available","25971","Not Available","Not Available","Not Available","Not Available","255980.8","Not Available","Not Available","Not Available"
"1 Beekman Pl","1013610021","1931","1","Multifamily Housing","217175","Parking","6000","Not Available","Not Available","973.8","51","Not Available","217175","Not Available","217175","6000","Not Available","Not Available","217175","6000","Not Available","Not Available","Not Available","9656398.3","335132.4","3351.324328","1161230.9"
"1 Central Park South","1-01274-7504","2007","1","Multifamily Housing","577275","Hotel","200708","Not Available","Not Available","5301.1","2","Not Available","777983","Not Available","577275","Not Available","Not Available","Not Available","777983","Not Available","Not Available","Not Available","Not Available","27144431","5924336.3","59243.36294","11743752"
"1 Central Park West","1011137502","1960","1","Multifamily Housing","364000","Hotel","238000","Restaurant","16334","4327","24","Not Available","618334","Not Available","364000","Not Available","Not Available","Not Available","618334","Not Available","Not Available","Not Available","Not Available","35475477","3920714.9","39207.14897","6503140.2"
"1 Centre St","1001210001","1913","1","Office","1070800","Not Available","Not Available","Not Available","Not Available","2508.8","98","Not Available","1070800","1070800","Not Available","Not Available","Not Available","Not Available","1070800","Not Available","Not Available","Not Available","Not Available","29327719.1","Not Available","Not Available","2070896.1"
"1 E. 57th Street","1-01293-0001","1910","1","Office","65341","Retail Store","25719","Not Available","Not Available","819","40","Not Available","91060","65341","Not Available","Not Available","25719","Not Available","91060","Not Available","Not Available","Not Available","Not Available","365380.8","Not Available","Not Available","2931393"
"1 E 70th Street","1013850001","1935","1","Museum","142636","Library","75713","Not Available","Not Available","1046.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","218349","Not Available","Not Available","Not Available","Not Available","Not Available","218349","Not Available","Not Available","Not Available","Not Available","3689495.2","467368.5","4673.685116","2863656"
"1 East 53 Street","1012890005","1927","1","Office","26842","Not Available","Not Available","Not Available","Not Available","124.4","67","Not Available","26842","26842","Not Available","Not Available","Not Available","Not Available","26842","Not Available","Not Available","Not Available","Not Available","1227732.1","137546.7","1375.466652","131079.3"
"1 Haven Ave; 701 W 168 Street","1021390051","1976","1","Medical Office","249587","Laboratory","78599","Not Available","Not Available","12802.8","1","Not Available","328186","Not Available","Not Available","Not Available","Not Available","Not Available","328186","Not Available","Not Available","Not Available","Not Available","139493977.9","27600","276.0000046","13053277.8"
"1 Hudson Street","1001400001","1915","1","Multifamily Housing","25356","Restaurant","1900","Not Available","Not Available","97","Not Available","Total Number of Residential Living Units is too small","27256","Not Available","25356","Not Available","Not Available","Not Available","27256","Not Available","Not Available","Not Available","Not Available","889990.1","235283","2352.830339","93648.3"
"1 Irving Place","1-00870-7501","1988","1","Multifamily Housing","610799","Medical Office","306791","Parking","59634","7424.1","27","Not Available","979300","Not Available","610799","59634","50646","Not Available","979300","59634","Not Available","Not Available","Not Available","30219984.1","2561082.7","25610.8271","19479646.1"
"1 New York Plaza","1-00004-7501","1970","1","Office","2537669","Parking","68700","Data Center","4894","16656.6","55","Not Available","2542563","2537669","Not Available","68700","Not Available","Not Available","2542563","68700","Not Available","Not Available","Not Available","78823725.8","49135696.1","491356.9614","32504758.1"
"1 Pace Plaza","1-00102-0001","1917","1","College/University","569027","Not Available","Not Available","Not Available","Not Available","4257","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","569027","Not Available","Not Available","Not Available","Not Available","Not Available","569027","Not Available","Not Available","Not Available","Not Available","35700986.4","371682.4","3716.824358","6885206.6"
"1 Park Avenue","1008887503","1925","1","Office","730647","Medical Office","118734","Fitness Center/Health Club/Gym","36004","4387.8","72","Not Available","944602","730647","Not Available","Not Available","7012","Not Available","944602","Not Available","13811002.4","Not Available","Not Available","880112.1","Not Available","Not Available","12187874.6"
"1 Penn Plaza","1007830070","1970","1","Office","2155372","Parking","155748","Retail Store","141251","18401.5","Not Available","Weekly Operating Hours is outside the allowed range","2461125","2155372","Not Available","155748","141251","Not Available","2461125","155748","Not Available","Not Available","Not Available","89375000.8","189271407.4","1892714.074","8903698.2"
"1 Police Plz","1-00119-0001","1973","1","Police Station","1000518","Not Available","Not Available","Not Available","Not Available","8294.2","Not Available","More than 50% of the Gross Floor Area is not a single Property Type that is eligible for a 1-100 score (in your country)","1000518","Not Available","Not Available","Not Available","Not Available","Not Available","1000518","Not Available","Not Available","Not Available","Not Available","31649299.2","525222","5252.219717","22737662.3"
